Date,NAV per Share,Ex-Dividends,,,
18-Jun-12,88.58,0,,,
19-Jun-12,89.07,0,,,
20-Jun-12,89.47,0,,,
21-Jun-12,89.54,0,,,
22-Jun-12,89.47,0,,,
25-Jun-12,89.37,0,,,
26-Jun-12,89.4,0,,,
27-Jun-12,89.61,0,,,
28-Jun-12,89.66,0,,,
29-Jun-12,90.06,0,,,
02-Jul-12,89.75,0.52,,,
03-Jul-12,89.97,0,,,
05-Jul-12,90.05,0,,,
06-Jul-12,90.08,0,,,
09-Jul-12,90.08,0,,,
10-Jul-12,90.21,0,,,
11-Jul-12,90.26,0,,,
12-Jul-12,90.14,0,,,
13-Jul-12,90.2,0,,,
16-Jul-12,90.24,0,,,
17-Jul-12,90.34,0,,,
18-Jul-12,90.48,0,,,
19-Jul-12,90.71,0,,,
20-Jul-12,90.73,0,,,
23-Jul-12,90.48,0,,,
24-Jul-12,90.47,0,,,
25-Jul-12,90.41,0,,,
26-Jul-12,90.59,0,,,
27-Jul-12,90.77,0,,,
30-Jul-12,91.04,0,,,
31-Jul-12,91.22,0,,,
01-Aug-12,90.86,0.5,,,
02-Aug-12,90.84,0,,,
03-Aug-12,91.06,0,,,
06-Aug-12,91.25,0,,,
07-Aug-12,91.41,0,,,
08-Aug-12,91.38,0,,,
09-Aug-12,91.34,0,,,
10-Aug-12,91.2,0,,,
13-Aug-12,91.23,0,,,
14-Aug-12,91.22,0,,,
15-Aug-12,91.07,0,,,
16-Aug-12,91.01,0,,,
17-Aug-12,91.06,0,,,
20-Aug-12,91.16,0,,,
21-Aug-12,91.32,0,,,
22-Aug-12,91.34,0,,,
23-Aug-12,91.39,0,,,
24-Aug-12,91.37,0,,,
27-Aug-12,91.47,0,,,
28-Aug-12,91.51,0,,,
29-Aug-12,91.55,0,,,
30-Aug-12,91.55,0,,,
31-Aug-12,91.61,0,,,
04-Sep-12,91.19,0.51,,,
05-Sep-12,91.24,0,,,
06-Sep-12,91.48,0,,,
07-Sep-12,91.82,0,,,
10-Sep-12,91.97,0,,,
11-Sep-12,92.19,0,,,
12-Sep-12,92.47,0,,,
13-Sep-12,92.61,0,,,
14-Sep-12,93.06,0,,,
17-Sep-12,93.12,0,,,
18-Sep-12,93.13,0,,,
19-Sep-12,93.13,0,,,
20-Sep-12,92.97,0,,,
21-Sep-12,92.91,0,,,
24-Sep-12,92.72,0,,,
25-Sep-12,92.51,0,,,
26-Sep-12,91.89,0,,,
27-Sep-12,92.11,0,,,
